	Main matrix
    1     1    -1    -1 
    1    -1    -1     1 
   -1    -1    -1    -1 
   -1    -1    -1     1 

	T	 E(T)	 M(T)	 C(T)
  0.01	8.00	-0.25	4780000.00
  0.11	0.00	0.50	24958.68
  0.21	-4.00	0.12	453.51
  0.31	0.00	0.12	291.36
  0.41	4.00	0.12	380.73
  0.51	0.00	0.25	161.48
  0.61	12.00	0.12	1144.85
  0.71	8.00	-0.25	948.22
  0.81	-4.00	-0.12	60.97
  0.91	0.00	-0.25	140.08
  1.01	0.00	0.25	37.25
  1.11	0.00	-0.25	77.92
  1.21	0.00	-0.25	6.83
  1.31	-4.00	0.25	44.29
  1.41	0.00	-0.25	5.03
  1.51	0.00	0.25	72.80
  1.61	8.00	0.00	50.15
  1.71	-4.00	0.00	10.94
  1.81	-4.00	0.12	17.09
  1.91	-4.00	0.25	35.09
  2.01	-8.00	0.25	153.46
  2.11	4.00	0.12	28.75
  2.21	4.00	0.25	14.74
  2.31	-12.00	-0.50	182.16
  2.41	-4.00	0.25	7.58
  2.51	-4.00	0.12	48.89
  2.61	0.00	0.12	3.52
  2.71	-8.00	0.12	23.69
  2.81	0.00	0.00	0.76
  2.91	4.00	0.12	35.43
  3.01	4.00	-0.12	16.11
  3.11	-8.00	-0.38	97.81
  3.21	0.00	-0.38	4.46
  3.31	-8.00	0.38	36.14
  3.41	-8.00	-0.50	25.63
  3.51	4.00	0.12	26.14
  3.61	-12.00	0.62	36.37
  3.71	0.00	-0.12	4.80
  3.81	8.00	0.00	23.28
  3.91	8.00	0.25	80.19

Error system: 36.1007799702

Time programm: 58
