	Main matrix
   -1    -1     1     1 
   -1     1     1    -1 
   -1    -1     1    -1 
   -1    -1     1     1 

	T	 E(T)	 M(T)	 C(T)
0.0100	-4.0000	-0.3750	240000.0000
0.1100	4.0000	0.0000	18842.9752
0.2100	4.0000	-0.1250	9115.6463
0.3100	0.0000	0.1250	624.3496
0.4100	0.0000	0.0000	178.4652
0.5100	-4.0000	-0.5000	92.2722
0.6100	0.0000	0.0000	21.4996
0.7100	-8.0000	0.2500	424.5189
0.8100	-4.0000	0.1250	94.4978
0.9100	-4.0000	-0.5000	251.1774
1.0100	0.0000	0.0000	3.9212
1.1100	-4.0000	-0.5000	155.8315
1.2100	4.0000	0.2500	62.8372
1.3100	4.0000	-0.1250	90.9038
1.4100	0.0000	0.0000	21.1257
1.5100	12.0000	0.1250	420.1570
1.6100	-12.0000	0.1250	152.7719
1.7100	4.0000	0.1250	51.2978
1.8100	0.0000	0.0000	27.4717
1.9100	0.0000	0.0000	6.5788
2.0100	8.0000	0.0000	101.4826
2.1100	4.0000	-0.2500	6.7384
2.2100	0.0000	-0.1250	14.7417
2.3100	-16.0000	-0.7500	306.5910
2.4100	12.0000	0.0000	252.0618
2.5100	4.0000	-0.1250	21.5870
2.6100	8.0000	0.1250	39.0482
2.7100	4.0000	-0.1250	32.9516
2.8100	4.0000	-0.2500	27.8619
2.9100	8.0000	-0.1250	57.1557
3.0100	-4.0000	0.1250	12.1411
3.1100	4.0000	0.2500	37.2205
3.2100	0.0000	0.1250	1.3587
3.3100	4.0000	-0.2500	33.9537
3.4100	12.0000	-0.1250	80.3227
3.5100	8.0000	0.0000	22.8894
3.6100	-4.0000	0.0000	13.6586
3.7100	12.0000	0.1250	58.2675
3.8100	4.0000	-0.3750	12.2622
3.9100	4.0000	0.1250	22.6320

Error system: 35.8438486472

Time programm: 62
